Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;;Todas las edades;Total;2021;3,375
Total Nacional;;Todas las edades;Total;2020;3,089
Total Nacional;;Todas las edades;Total;2019;3,910
Total Nacional;;Todas las edades;Total;2018;4,057
Total Nacional;;Todas las edades;Hombres;2021;5,521
Total Nacional;;Todas las edades;Hombres;2020;5,033
Total Nacional;;Todas las edades;Hombres;2019;6,262
Total Nacional;;Todas las edades;Hombres;2018;6,337
Total Nacional;;Todas las edades;Mujeres;2021;1,309
Total Nacional;;Todas las edades;Mujeres;2020;1,222
Total Nacional;;Todas las edades;Mujeres;2019;1,649
Total Nacional;;Todas las edades;Mujeres;2018;1,864
Total Nacional;;Menores de 1 año;Total;2021;0,593
Total Nacional;;Menores de 1 año;Total;2020;0,879
Total Nacional;;Menores de 1 año;Total;2019;0,277
Total Nacional;;Menores de 1 año;Total;2018;1,073
Total Nacional;;Menores de 1 año;Hombres;2021;1,148
Total Nacional;;Menores de 1 año;Hombres;2020;0,000
Total Nacional;;Menores de 1 año;Hombres;2019;0,539
Total Nacional;;Menores de 1 año;Hombres;2018;1,044
Total Nacional;;Menores de 1 año;Mujeres;2021;0,000
Total Nacional;;Menores de 1 año;Mujeres;2020;1,802
Total Nacional;;Menores de 1 año;Mujeres;2019;0,000
Total Nacional;;Menores de 1 año;Mujeres;2018;1,104
Total Nacional;;De 1 a 14 años;Total;2021;0,397
Total Nacional;;De 1 a 14 años;Total;2020;0,356
Total Nacional;;De 1 a 14 años;Total;2019;0,474
Total Nacional;;De 1 a 14 años;Total;2018;0,396
Total Nacional;;De 1 a 14 años;Hombres;2021;0,493
Total Nacional;;De 1 a 14 años;Hombres;2020;0,420
Total Nacional;;De 1 a 14 años;Hombres;2019;0,534
Total Nacional;;De 1 a 14 años;Hombres;2018;0,443
Total Nacional;;De 1 a 14 años;Mujeres;2021;0,294
Total Nacional;;De 1 a 14 años;Mujeres;2020;0,287
Total Nacional;;De 1 a 14 años;Mujeres;2019;0,411
Total Nacional;;De 1 a 14 años;Mujeres;2018;0,346
Total Nacional;;De 15 a 29 años;Total;2021;4,072
Total Nacional;;De 15 a 29 años;Total;2020;3,204
Total Nacional;;De 15 a 29 años;Total;2019;4,256
Total Nacional;;De 15 a 29 años;Total;2018;4,749
Total Nacional;;De 15 a 29 años;Hombres;2021;6,511
Total Nacional;;De 15 a 29 años;Hombres;2020;4,821
Total Nacional;;De 15 a 29 años;Hombres;2019;6,619
Total Nacional;;De 15 a 29 años;Hombres;2018;7,347
Total Nacional;;De 15 a 29 años;Mujeres;2021;1,509
Total Nacional;;De 15 a 29 años;Mujeres;2020;1,509
Total Nacional;;De 15 a 29 años;Mujeres;2019;1,786
Total Nacional;;De 15 a 29 años;Mujeres;2018;2,047
Total Nacional;;De 30 a 39 años;Total;2021;3,735
Total Nacional;;De 30 a 39 años;Total;2020;3,519
Total Nacional;;De 30 a 39 años;Total;2019;3,566
Total Nacional;;De 30 a 39 años;Total;2018;4,301
Total Nacional;;De 30 a 39 años;Hombres;2021;6,242
Total Nacional;;De 30 a 39 años;Hombres;2020;6,059
Total Nacional;;De 30 a 39 años;Hombres;2019;5,980
Total Nacional;;De 30 a 39 años;Hombres;2018;7,092
Total Nacional;;De 30 a 39 años;Mujeres;2021;1,215
Total Nacional;;De 30 a 39 años;Mujeres;2020;0,993
Total Nacional;;De 30 a 39 años;Mujeres;2019;1,164
Total Nacional;;De 30 a 39 años;Mujeres;2018;1,516
Total Nacional;;De 40 a 44 años;Total;2021;3,154
Total Nacional;;De 40 a 44 años;Total;2020;3,265
Total Nacional;;De 40 a 44 años;Total;2019;3,679
Total Nacional;;De 40 a 44 años;Total;2018;3,698
Total Nacional;;De 40 a 44 años;Hombres;2021;5,682
Total Nacional;;De 40 a 44 años;Hombres;2020;5,376
Total Nacional;;De 40 a 44 años;Hombres;2019;6,589
Total Nacional;;De 40 a 44 años;Hombres;2018;6,160
Total Nacional;;De 40 a 44 años;Mujeres;2021;0,574
Total Nacional;;De 40 a 44 años;Mujeres;2020;1,129
Total Nacional;;De 40 a 44 años;Mujeres;2019;0,712
Total Nacional;;De 40 a 44 años;Mujeres;2018;1,172
Total Nacional;;De 45 a 49 años;Total;2021;3,449
Total Nacional;;De 45 a 49 años;Total;2020;2,996
Total Nacional;;De 45 a 49 años;Total;2019;4,317
Total Nacional;;De 45 a 49 años;Total;2018;3,935
Total Nacional;;De 45 a 49 años;Hombres;2021;5,873
Total Nacional;;De 45 a 49 años;Hombres;2020;5,180
Total Nacional;;De 45 a 49 años;Hombres;2019;7,834
Total Nacional;;De 45 a 49 años;Hombres;2018;6,537
Total Nacional;;De 45 a 49 años;Mujeres;2021;0,968
Total Nacional;;De 45 a 49 años;Mujeres;2020;0,775
Total Nacional;;De 45 a 49 años;Mujeres;2019;0,735
Total Nacional;;De 45 a 49 años;Mujeres;2018;1,280
Total Nacional;;De 50 a 54 años;Total;2021;3,898
Total Nacional;;De 50 a 54 años;Total;2020;3,312
Total Nacional;;De 50 a 54 años;Total;2019;4,325
Total Nacional;;De 50 a 54 años;Total;2018;4,289
