Año;Periodo;Turismos;Motocicletas; Ciclomotores
1993;Año;3609;587;361
1994;Año;3057;480;380
1995;Año;3207;479;386
1996;Año;3006;457;388
1997;Año;3000;460;440
1998;Año;3303;424;507
1999;Año;3196;388;515
2000;Año;3294;392;474
2001;Año;3148;370;463
2002;Año;3118;401;383
2003;Año;3216;367;391
2004;Año;2693;400;361
2005;Año;2393;472;313
2006;Año;2096;481;308
2007;Año;1821;632;248
2008;Año;1504;495;183
2009;Año;1267;438;156
2010;Año;1198;386;100
2011;Año;979;348;74
2012;Año;874;303;66
2013;Año;716;301;54
2014;Año;722;287;53
2015;Año;693;329;56
2016;Año;754;343;54
2017;Año;799;359;49
2018;Año;732;359;62
