Año;Periodo;Autopista;Autovia;Carretera_convencional
1998;Año;359;791;3530
1999;Año;334;775;3411
2000;Año;357;796;3238
2001;Año;380;798;3082
2002;Año;330;796;3039
2003;Año;370;713;3132
2004;Año;279;651;2654
2005;Año;219;633;2592
2006;Año;232;565;2500
2007;Año;164;458;2412
2008;Año;109;389;1940
2009;Año;89;377;1625
2010;Año;89;331;1478
2011;Año;65;271;1151
2012;Año;67;231;1017
2013;Año;63;227;848
2014;Año;64;226;870
2015;Año;75;202;862
2016;Año;85;242;877
2017;Año;85;223;943
2018;Año;82;241;923
